                                                                                                       
{'loss': 0.8824, 'grad_norm': 1.8382127285003662, 'learning_rate': 2.8096676737160122e-05, 'epoch': 0.28}
{'loss': 0.8624, 'grad_norm': 1.9558111429214478, 'learning_rate': 2.8247734138972808e-05, 'epoch': 0.28}
{'loss': 0.8484, 'grad_norm': 1.7652316093444824, 'learning_rate': 2.8398791540785504e-05, 'epoch': 0.28}
{'loss': 0.836, 'grad_norm': 1.7766563892364502, 'learning_rate': 2.854984894259819e-05, 'epoch': 0.29}
{'loss': 0.8304, 'grad_norm': 1.868820309638977, 'learning_rate': 2.870090634441088e-05, 'epoch': 0.29}
{'loss': 0.8113, 'grad_norm': 1.8145442008972168, 'learning_rate': 2.8851963746223565e-05, 'epoch': 0.29}
{'loss': 0.8042, 'grad_norm': 1.7789385318756104, 'learning_rate': 2.9003021148036257e-05, 'epoch': 0.29}
{'loss': 0.7897, 'grad_norm': 1.8394793272018433, 'learning_rate': 2.9154078549848947e-05, 'epoch': 0.29}
{'loss': 0.7784, 'grad_norm': 1.8977476358413696, 'learning_rate': 2.9305135951661632e-05, 'epoch': 0.29}
{'loss': 0.7664, 'grad_norm': 1.9039143323898315, 'learning_rate': 2.945619335347432e-05, 'epoch': 0.29}
{'loss': 0.7501, 'grad_norm': 1.9285368919372559, 'learning_rate': 2.9607250755287007e-05, 'epoch': 0.3}
{'loss': 0.7351, 'grad_norm': 1.977545142173767, 'learning_rate': 2.97583081570997e-05, 'epoch': 0.3}
{'loss': 0.7209, 'grad_norm': 2.039889097213745, 'learning_rate': 2.990936555891239e-05, 'epoch': 0.3}
{'loss': 0.7058, 'grad_norm': 1.9896639585494995, 'learning_rate': 3.0060422960725075e-05, 'epoch': 0.3}
{'loss': 0.6844, 'grad_norm': 1.9719420671463013, 'learning_rate': 3.0211480362537764e-05, 'epoch': 0.3}
{'loss': 0.6747, 'grad_norm': 1.9972115755081177, 'learning_rate': 3.0362537764350457e-05, 'epoch': 0.3}
{'loss': 0.6578, 'grad_norm': 1.9745385646820068, 'learning_rate': 3.0513595166163146e-05, 'epoch': 0.31}
{'loss': 0.6478, 'grad_norm': 2.056992530822754, 'learning_rate': 3.0664652567975835e-05, 'epoch': 0.31}
{'loss': 0.6285, 'grad_norm': 1.9809291362762451, 'learning_rate': 3.081570996978852e-05, 'epoch': 0.31}
{'loss': 0.6192, 'grad_norm': 1.9827451705932617, 'learning_rate': 3.096676737160121e-05, 'epoch': 0.31}
{'loss': 0.6039, 'grad_norm': 1.9799634218215942, 'learning_rate': 3.11178247734139e-05, 'epoch': 0.31}
{'loss': 0.583, 'grad_norm': 1.9859973192214966, 'learning_rate': 3.1268882175226586e-05, 'epoch': 0.31}
{'loss': 0.5711, 'grad_norm': 1.9670273065567017, 'learning_rate': 3.141993957703928e-05, 'epoch': 0.31}
{'loss': 0.5498, 'grad_norm': 1.999165654182434, 'learning_rate': 3.1570996978851964e-05, 'epoch': 0.32}
{'loss': 0.539, 'grad_norm': 1.9118285179138184, 'learning_rate': 3.1722054380664657e-05, 'epoch': 0.32}
{'loss': 0.5299, 'grad_norm': 1.9372833967208862, 'learning_rate': 3.187311178247734e-05, 'epoch': 0.32}
{'loss': 0.5154, 'grad_norm': 1.8887745141983032, 'learning_rate': 3.202416918429003e-05, 'epoch': 0.32}
{'loss': 0.4929, 'grad_norm': 1.8650819063186646, 'learning_rate': 3.217522658610272e-05, 'epoch': 0.32}
{'loss': 0.4887, 'grad_norm': 1.8196682929992676, 'learning_rate': 3.232628398791541e-05, 'epoch': 0.32}
{'loss': 0.4739, 'grad_norm': 1.8274681568145752, 'learning_rate': 3.24773413897281e-05, 'epoch': 0.32}
{'loss': 0.4493, 'grad_norm': 1.7853285074234009, 'learning_rate': 3.2628398791540785e-05, 'epoch': 0.33}
{'loss': 0.4484, 'grad_norm': 1.7455257177352905, 'learning_rate': 3.277945619335348e-05, 'epoch': 0.33}
{'loss': 0.431, 'grad_norm': 1.7428364753723145, 'learning_rate': 3.2930513595166164e-05, 'epoch': 0.33}
{'loss': 0.4177, 'grad_norm': 1.751222014427185, 'learning_rate': 3.3081570996978856e-05, 'epoch': 0.33}
{'loss': 0.3988, 'grad_norm': 1.6999818086624146, 'learning_rate': 3.323262839879154e-05, 'epoch': 0.33}
{'loss': 0.3936, 'grad_norm': 1.6541999578475952, 'learning_rate': 3.338368580060423e-05, 'epoch': 0.33}
{'loss': 0.3839, 'grad_norm': 1.6172199249267578, 'learning_rate': 3.353474320241692e-05, 'epoch': 0.34}
{'loss': 0.3743, 'grad_norm': 1.6046926975250244, 'learning_rate': 3.368580060422961e-05, 'epoch': 0.34}
{'loss': 0.3593, 'grad_norm': 1.5892291069030762, 'learning_rate': 3.38368580060423e-05, 'epoch': 0.34}
{'loss': 0.3506, 'grad_norm': 1.5648733377456665, 'learning_rate': 3.3987915407854985e-05, 'epoch': 0.34}
{'loss': 0.341, 'grad_norm': 1.5840132236480713, 'learning_rate': 3.413897280966768e-05, 'epoch': 0.34}
{'loss': 0.3288, 'grad_norm': 1.5063378810882568, 'learning_rate': 3.429003021148036e-05, 'epoch': 0.34}
{'loss': 0.321, 'grad_norm': 1.4855808019638062, 'learning_rate': 3.4441087613293056e-05, 'epoch': 0.34}
{'loss': 0.3113, 'grad_norm': 1.4665791988372803, 'learning_rate': 3.459214501510574e-05, 'epoch': 0.35}
